strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/France/35-200425-2/2020	2020-11-02	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200437-1/2020	2020-11-10	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200438-2/2020	2020-11-10	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200469-2/2020	2020-07-11	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200470-2/2020	2020-11-25	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-200508-2/2020	2020-12-10	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210040-1/2020	2020-11-06	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210062-6/2021	2021-01-11	France	1C.2.4	N2.Gent	?	ILLE-ET-VILAINE (35)
A/swine/France/35-210089-3/2021	2021-01-18	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210129-2/2021	2021-01-12	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210140-1/2021	2021-02-14	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210165-4/2021	2021-02-21	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210254-2/2021	2021-01-27	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210370-1/2021	2021-05-21	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210402-2/2021	2021-04-10	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210500-1/2021	2021-08-19	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-210501-6/2021	2021-10-04	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-210518-1/2021	2021-09-07	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-210519-2/2021	2021-09-01	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/35-220447-3/2022	2022-06-17	France	1C.2.1	N1.EA	H1avN1#A	ILLE-ET-VILAINE (35)
A/swine/France/35-220448-3/2022	2022-06-28	France	1C.2.4	N2.Gent	H1avN2#E	ILLE-ET-VILAINE (35)
A/swine/France/37-120345/2012	2012-10-17	France	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/France/37-220188-1/2022	2022-03-15	France	1C.2.4	N2.Gent	H1avN2#E	INDRE-ET-LOIRE (37)
A/swine/France/41-120137/2012	2012-01-10	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/44-180495/2018	2018-11-29	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/44-200018/2020	2020-01-21	France	1C.2.1	N1.EA	H1avN1#A	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200139/2020	2020-04-20	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200384-2/2020	2020-10-19	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200423-1/2020	2020-07-18	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200460-3/2020	2020-11-16	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200510-2/2020	2020-07-23	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-200512-1/2020	2020-07-22	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/44-220189-1/2022	2022-03-23	France	1C.2.4	N2.Gent	H1avN2#E	LOIRE-ATLANTIQUE (44)
A/swine/France/49-180429/2018	2018-10-14	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/49-200216/2020	2020-07-14	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/49-200353-3/2020	2020-10-06	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/49-200490-3/2020	2020-11-27	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/49-210490-1/2021	2021-09-21	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/49-220101-1/2022	2022-02-22	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/49-230070-3/2022	2022-12-29	France	1C.2.4	N2.Gent	H1avN2#E	MAINE-ET-LOIRE (49)
A/swine/France/50-120350/2012	2012-10-09	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/50-130337/2013	2013-09-17	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/50-170323/2017	2017-12-14	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/50-190058/2019	2019-01-22	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-190161/2019	2019-04-12	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-190453/2019	2019-08-29	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-190466/2019	2019-09-04	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-190476/2019	2019-09-09	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-190548/2019	2019-10-24	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-200471-3/2020	2020-06-30	France	1C.2.4	N2.Gent	H1avN2#E	MANCHE (50)
A/swine/France/50-210307-1/2021	2021-03-12	France	1C.2.4	N2.Gent	H1avN2#E	MANCHE (50)
A/swine/France/50-210417-5/2021	2021-07-14	France	1C.2.4	N2.Gent	H1avN2#E	MANCHE (50)
A/swine/France/50-220084-2/2022	2022-02-07	France	1C.2.1	N1.EA	H1avN1#A	MANCHE (50)
A/swine/France/50-220669-3/2022	2022-11-18	France	1C.2.1	N1.EA	H1avN1#D	MANCHE (50)
A/swine/France/53-130065/2013	2013-01-22	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/53-160350/2016	2016-10-12	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/53-170144/2017	2017-05-14	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/53-180462/2018	2018-11-11	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/53-190488/2019	2019-06-17	France	1C.2.1	N1.EA	H1avN1#A	MAYENNE (53)
A/swine/France/53-190540/2019	2019-10-30	France	1C.2.1	N1.EA	H1avN1#D	MAYENNE (53)
A/swine/France/53-200134-1/2020	2020-05-19	France	1C.2.1	N1.EA	H1avN1#A	MAYENNE (53)
A/swine/France/53-200134-3/2020	2020-05-19	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-200155/2020	2020-05-27	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-210090-4/2021	2021-01-20	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-210091-2/2021	2021-01-21	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-210237-123/2021	2021-01-13	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-210426-3/2021	2021-07-30	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/53-220295-1/2022	2022-02-16	France	1C.2.1	N1.EA	H1avN1#D	MAYENNE (53)
A/swine/France/53-230071-5/2022	2022-11-22	France	1C.2.4	N2.Gent	H1avN2#E	MAYENNE (53)
A/swine/France/56-170084/2017	2017-03-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-170149/2017	2017-05-21	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-170177/2017	2017-05-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-170226/2017	2017-08-29	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-170294/2017	2017-11-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-180360/2018	2018-08-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-180424/2018	2018-10-22	France	1C.2.4	N2.Gent	H1avN2#F	out
A/swine/France/56-180472/2018	2018-11-16	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/56-190060/2019	2019-02-04	France	1C.2.1	N1.EA	H1avN1#A	MORBIHAN (56)
A/swine/France/56-190444/2019	2019-08-05	France	1C.2.1	N1.EA	H1avN1#A	MORBIHAN (56)
A/swine/France/56-200025/2020	2020-01-29	France	1C.2.1	N1.EA	H1avN1#A	MORBIHAN (56)
A/swine/France/56-200050/2020	2020-02-12	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200112/2020	2020-05-06	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200169/2020	2020-05-05	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200201/2020	2020-04-23	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200231/2020	2020-06-22	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200256/2020	2020-08-02	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200257/2020	2020-08-01	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200259/2020	2020-08-02	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200313/2020	2020-07-18	France	1C.2.1	N1.EA	H1avN1#B	MORBIHAN (56)
A/swine/France/56-200347/2020	2020-07-27	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-200441-3/2020	2020-11-12	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-210105-1/2021	2021-01-15	France	1C.2.1	N1.EA	H1avN1#A	MORBIHAN (56)
A/swine/France/56-210124-1/2021	2021-01-04	France	1C.2.1	N1.EA	H1avN1#A	MORBIHAN (56)
A/swine/France/56-210255-1/2021	2021-02-01	France	1C.2.4	N2.Gent	?	MORBIHAN (56)
A/swine/France/56-220533-3/2022	2022-08-31	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/56-220651-2/2022	2022-11-07	France	1C.2.4	N2.Gent	H1avN2#E	MORBIHAN (56)
A/swine/France/59-130174/2013	2013-04-15	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-170028/2017	2017-01-19	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-170121/2017	2017-04-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-170241/2017	2017-09-14	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-170345/2017	2017-12-18	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-180117/2018	2018-02-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-180359/2018	2018-08-09	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-180465/2018	2018-11-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/59-190568/2020	2020-11-11	France	1C.2.1	N1.EA	H1avN1#A	NORD (59)
A/swine/France/59-190581/2019	2019-11-26	France	1C.2.2	N1.EA	H1avN1#C	NORD (59)
A/swine/France/59-200121/2020	2020-03-25	France	1C.2	N2.Gent	H1avN2#G	NORD (59)
A/swine/France/59-210424-2/2021	2021-07-18	France	1C.2.1	N1.EA	H1avN1#A	NORD (59)
A/swine/France/59-220437-3/2022	2022-06-10	France	1C.2.2	N1.EA	H1avN1#C	NORD (59)
A/swine/France/59-220536-3/2022	2022-06-01	France	1C.2.2	N1.EA	H1avN1#C	NORD (59)
A/swine/France/61-140350/2014	2014-06-04	France	1C.2.1	N2.Scot	?	out
A/swine/France/61-150219/2015	2015-06-05	France	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/France/62-150308/2015	2015-08-26	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/64-130454/2013	2013-12-18	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/64-140385/2014	2014-07-06	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/64-150152/2015	2015-03-23	France	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/France/64-200317/2020	2020-07-12	France	1C.2.1	N1.EA	H1avN1#A	PYRENEES-ATLANTIQUES (64)
A/swine/France/64-200370-3/2020	2020-07-17	France	1C.2.1	N1.EA	H1avN1#A	PYRENEES-ATLANTIQUES (64)
A/swine/France/64-200385-2/2020	2020-10-21	France	1C.2.1	N1.EA	H1avN1#A	PYRENEES-ATLANTIQUES (64)
A/swine/France/64-210493-3/2021	2021-09-29	France	1C.2.1	N1.EA	H1avN1#A	PYRENEES-ATLANTIQUES (64)
A/swine/France/64-220661-4/2022	2022-11-21	France	1C.2.1	N1.EA	H1avN1#A	PYRENEES-ATLANTIQUES (64)
A/swine/France/65-150242/2015	2015-06-10	France	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/France/69-160337/2016	2016-09-27	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/70-130144/2013	2013-03-27	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/72-150321/2015	2015-09-14	France	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/France/72-160154/2016	2016-03-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/72-180053/2018	2018-01-29	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/72-180446/2018	2018-10-29	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/72-190321/2019	2019-05-28	France	1C.2.1	N1.EA	H1avN1#A	SARTHE (72)
A/swine/France/72-190455/2019	2019-08-29	France	1C.2.1	N1.EA	H1avN1#A	SARTHE (72)
A/swine/France/72-190574/2019	2019-11-19	France	1C.2.1	N1.EA	H1avN1#A	SARTHE (72)
A/swine/France/72-200205/2020	2020-06-05	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200244/2020	2020-07-16	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200277/2020	2020-06-06	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200305/2020	2020-07-24	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200318/2020	2020-07-21	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200458-1/2020	2020-11-20	France	1C.2.1	N1.EA	H1avN1#A	SARTHE (72)
A/swine/France/72-200461-1/2020	2020-11-09	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-200462-2/2020	2020-07-02	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-210053-6/2021	2021-01-04	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-210055-1/2021	2021-01-11	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-210233-2/2021	2021-01-19	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-210508-1/2021	2021-10-12	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-210509-4/2021	2021-10-19	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-220016-1/2021	2021-12-27	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-220017-3/2022	2022-01-03	France	1C.2.4	N2.Gent	H1avN2#E	SARTHE (72)
A/swine/France/72-220656-1/2022	2022-11-08	France	1C.2.1	N1.EA	H1avN1#B	SARTHE (72)
A/swine/France/72-220656-3/2022	2022-11-08	France	1C.2.1	N1.EA	H1avN1#B	SARTHE (72)
A/swine/France/72-230004-2/2022	2022-12-20	France	1C.2.1	N1.EA	H1avN1#B	SARTHE (72)
A/swine/France/74-200117/2020	2020-03-04	France	1C.2.1	N1.EA	H1avN1#A	HAUTE-SAVOIE (74)
A/swine/France/76-210447-1/2021	2021-05-29	France	1C.2.4	N2.Gent	H1avN2#E	SEINE-MARITIME (76)
A/swine/France/79-140150/2014	2014-03-10	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/79-210184-5/2021	2021-03-03	France	1C.2.1	N1.EA	H1avN1#A	DEUX-SEVRES (79)
A/swine/France/79-210235-4/2021	2021-01-15	France	1C.2.4	N2.Gent	H1avN2#E	DEUX-SEVRES (79)
A/swine/France/80-220527-2/2022	2022-08-12	France	1C.2.2	N1.EA	H1avN1#C	SOMME (80)
A/swine/France/81-200304/2020	2020-07-19	France	1C.2.1	N1.EA	H1avN1#A	TARN (81)
A/swine/France/81-200474-1/2020	2020-10-15	France	1C.2.1	N1.EA	H1avN1#A	TARN (81)
A/swine/France/81-210264-4/2021	2021-03-03	France	1C.2.4	N2.Gent	?	TARN (81)
A/swine/France/81-220129-1/2022	2022-03-03	France	1C.2.1	N1.EA	H1avN1#A	TARN (81)
A/swine/France/82-200069/2020	2020-02-27	France	1C.2.1	N1.EA	H1avN1#A	TARN-ET-GARONNE (82)
A/swine/France/85-200222/2020	2020-07-14	France	1C.2.1	N1.EA	H1avN1#A	VENDEE (85)
A/swine/France/85-210258-1/2021	2021-03-24	France	1C.2.1	N1.EA	H1avN1#A	VENDEE (85)
A/swine/France/86-180497/2018	2018-12-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/86-210313-1/2021	2021-03-17	France	1C.2.1	N1.EA	H1avN1#A	VIENNE (86)
A/swine/France/86-210314-2/2021	2021-03-28	France	1C.2.1	N1.EA	H1avN1#A	VIENNE (86)
A/swine/France/89-150069/2015	2015-02-09	France	1C.2.2	N1.EA	H1avN1#C	out
A/swine/France/Cotes-d-Armor-0455/2011	2011-09-05	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/Finistere-0011/2011	2011-01-10	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/IIIeetVilaine-0187/2011	2011-04-06	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/IIIeetVilaine-0266/2011	2011-05-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/Ille-et-Vilaine-0115/2011	2011-02-01	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/LoireAtlantique-0405/2011	2011-07-01	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/Morbihan-0213/2011	2011-04-17	France	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/France/Morbihan-0294/2011	2011-06-13	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/WVL8/1992	1992-XX-XX	France	1C.2.1	N1.EA	?	out
A/swine/Germany/R235/2013	2013-XX-XX	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Germany-BB/siv-leipz11308/2009	2009-XX-XX	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Germany-NI/R369/2009	2009-XX-XX	Germany	1C.2	N2.Gent	H1avN2#H	out
A/swine/Heiden/13820/2011	2011-08-24	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Horstmar/19085/2013	2013-10-30	Germany	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Ille-et-Vilaine/1455/1999	1999-10-01	France	1C.2.1	N1.EA	?	out
A/swine/Italy/11643/2017	2017-12-18	Italy	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Italy/34051/2019	2019-01-28	Italy	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Italy/34288/2018	2018-08-22	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/38652/2019	2019-01-30	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/44482/2017	2017-03-13	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/58247/2020	2020-02-16	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/107012/2017	2017-12-22	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/112082/2017	2017-12-26	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/228721/2017	2017-01-02	Italy	1C.2	N2.Gent	H1avN2#G	out
A/swine/Italy/265041/2019	2019-07-30	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/269814/2013	2013-09-01	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/286630/2019	2019-08-21	Italy	1C.2	N2.Gent	H1avN2#G	out
A/swine/Italy/294170/2019	2019-08-28	Italy	1C.2.1	N2.Scot	H1avN2#A	out
A/swine/Italy/317814/2019	2019-09-17	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/347423/2020	2020-10-27	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/349779/2017	2017-04-20	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/351544/2017	2017-04-12	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/373197/2019	2019-10-29	Italy	1C.2	N2.Gent	H1avN2#G	out
A/swine/Italy/400317/2020	2020-12-07	Italy	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Italy/400367/2020	2020-12-07	Italy	1C.2.4	N2.Gent	H1avN2#F	out
A/swine/Italy/428424/2019	2019-12-09	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Italy/39576-2/2019	2019-02-01	Italy	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Lohne/14425/2011	2011-12-14	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Netherlands/Gent-193/2019	2019-09-24	Netherlands	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Netherlands/Groenlo-37/2012	2012-01-20	Netherlands	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Netherlands/Putten-60/2012	2012-02-04	Netherlands	1C.2.1	N1.EA	H1avN1#A	out
A/swine/OMS/2111/1995	1995-10-01	France	1C.2.1	N1.EA	?	out
A/swine/Poland/321/2012	2012-01-13	Poland	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Poland/1744/2012	2012-05-20	Poland	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Poland/006801/2013	2013-01-22	Poland	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Rhede/21178/2015	2015-01-15	Germany	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Scotland/034632/2012	2012-07-15	Scotland	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Soest/21748/2015	2015-05-25	Germany	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Spain/850/2016	2016-02-24	Spain	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Wittmund/8498/2009	2009-01-11	Germany	1C.2.2	N1.EA	H1avN1#C	out
