strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/France/22-190050/2019	2019-01-30	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-190080/2019	2019-02-20	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-190099/2019	2019-03-13	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-190109/2019	2019-03-20	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-190177/2019	2019-04-27	France	1C.2.4	N2.Gent	H1avN2#F	COTES-D'ARMOR (22)
A/swine/France/22-190475/2019	2019-09-19	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-190491/2019	2019-08-22	France	1C.2.4	N2.Gent	H1avN2#F	COTES-D'ARMOR (22)
A/swine/France/22-190536/2019	2019-10-24	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-200009-2/2019	2019-12-30	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-200062/2020	2020-01-30	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-200113/2020	2020-05-06	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200168/2020	2020-05-05	France	1C.2.4	N2.Gent	H1avN2#F	COTES-D'ARMOR (22)
A/swine/France/22-200171/2020	2020-04-15	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200173/2020	2020-06-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200175/2020	2020-06-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200176/2020	2020-06-08	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200177/2020	2020-06-11	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200207/2020	2020-06-12	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200210/2020	2020-07-07	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200212/2020	2020-07-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200213/2020	2020-07-11	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200215/2020	2020-07-14	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200227/2020	2020-06-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200228/2020	2020-06-11	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200229/2020	2020-06-25	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200230/2020	2020-06-17	France	1C.2.4	N2.Gent	H1avN2#F	COTES-D'ARMOR (22)
